Role,Companies,Location,Experience,Skills
Data Scientist - Image Processing/machine Learning,CarbyneTech India,Hyderabad,6-11 Yrs,"Predictive Modeling
Data Science
Data Scientist
Time Series Analysis
Image Processing
Data Management
Statistical Analyst
Machine Learning"
Data Scientist,Novartis Healthcare Pvt. Ltd.,Hyderabad,6-10 Yrs,"Procurement
Computer science
Web technologies
Coding
HTML
Budgeting
Data mining
Robotics"
Data Scientist - Machine Learning/deep Learning,SKS Enterpprises,Bengaluru,6-10 Yrs,"Data Science
R
Data Scientist
Neural Networks
Data Mining
Data Analytics
Machine Learning
Algorithm"
Senior Data Scientist / Machine Learning / AI Engineer,Bion,Bengaluru,8-13 Yrs,"Java
Rest
Software Development
Artificial Intelligence
Weblogic
Javascript
Programming
J2Ee"
Data Scientist - Analytics Division - Tech Service Provider Firm,Mirus Solutions,Bengaluru,5-10 Yrs,"Data Management
Machine Learning
Analytics
Numpy
Data Science
NLTK
NLP
Data Scientist"
Data Scientist/Data Science,Skyleaf Consultants,Mumbai,8-13 Yrs,"matlab
python
bigdata
neural networks
robotics
machine learning
iot
deep learning"
Principal Data Scientist - Recommender system,TVS MOTOR COMPANY LTD,Bengaluru,8-10 Yrs,data
Data Scientist - Advanced Analytics,Novartis Healthcare Pvt. Ltd.,Hyderabad,6-10 Yrs,"Unix
Computer science
advanced analytics
C++
Change management
XML
Perl
MATLAB"
Lead Data Scientist - Machine Learning/ Deep Learning,SKS Enterpprises,Pune,12-16 Yrs,"NLP
Data Scientist
Data Management
NLU / NLG
Data Modeling
Data Analytics
Algorithm
Machine Learning"
Data Scientist,Quality Engineering Software Technologies Pvt. Ltd.,Bengaluru,4-8 Yrs,"deep learning
Machine learning
Predictive analytics
Quest
Python"
Data Scientist - SAS/ SQL/ SPSS,Talpro,"Delhi NCR, Bengaluru",8-12 Yrs,"R
SAS
Data Management
SPSS
Analytics
SQL"
Data Scientist,Quality Engineering Software Technologies Pvt. Ltd.,Bengaluru,4-8 Yrs,"Mac Os
IOS
Quest
Python"
Sr. Data Scientist,Crayon Data,Chennai,8-13 Yrs,"GIS
Computer science
Operations research
Prototype
NoSQL
data science
Social science
Project management"
Data Scientist,Bigtree Entertainment Pvt. Ltd,Mumbai,2-6 Yrs,"interfaces
oracle
workflow
functions
configuration
mysql
data integration
sql server"
.1787_Data Scientist _Bangalore,Sigma Allied Services private Limited,Bengaluru,2-5 Yrs,"Data Science
Predictive Modeling
R
Neural Networks
Data Analysis
Data Mining
Machine Learning
Deep Learning"
Associate Data Scientist,Client of PeopleLogic,Bengaluru,6-8 Yrs,"Engineering
DBA
Engineer
data
Technology
Computer Science
Database
engineer"
Data Scientist,Bigtree Entertainment Pvt. Ltd,Mumbai,2-7 Yrs,"interfaces
oracle
workflow
functions
configuration
mysql
data integration
sql server"
Data Scientist,Bigtree Entertainment Pvt. Ltd,Mumbai,2-5 Yrs,"Report generation
MySQL
query
Database
Writing
Workflow
Oracle
Business Executive"
Associate Data Scientist,Right Step Consulting,Noida,3-6 Yrs,"E-learning
Linux
Data management
Javascript
Tools
Business intelligence
Digital marketing
Analytics"
Senior Data Scientist,JoinHandsHR,Mumbai,3-8 Yrs,"Data Scientist
Data Analyst"
Data Scientist / Analyst,Adoro,Mumbai,2-5 Yrs,"Computer science
Basic
Senior Analyst
Statistical software
MATLAB
Statistics
SQL
Python"
Data Scientist,VEHERE INTERECTIVE PVT LTD,Kolkata,5-9 Yrs,"Computer science
deep learning
cyber security
Machine learning
Data structures
Troubleshooting
Data mining
Analytics"
Lead Data Scientist,Proliant Infotech Pvt Ltd,Bengaluru,7-12 Yrs,"IT services
C++
Image processing
Analytical
Machine learning
Outsourcing
Data mining
Analytics"
Senior Data Scientist,vElement Technology Pvt Ltd,Pune,7-12 Yrs,"Process automation
SAP
data science
Javascript
HTML
JSON
microsoft
Order processing"
Sr. Data Scientist,Pegasus Knowledge Solutions India Private Limited,Bengaluru,5-10 Yrs,"Process design
Outbound
SAS
Analytical
Machine learning
Anova
SPSS
Data mining"
Data Scientist,Robonomics AI,Bengaluru,8-13 Yrs,"deep learning
Time series analysis
Machine learning
Predictive modeling
Design analysis
Performance improvement
Python"
Data Scientist,Ancla Consultancy Services India Pvt Ltd,Hyderabad,6-12 Yrs,"Location: Hyderabad
Data Scientist
Experience: 6-12 yrs"
Senior Data Scientist,Glass Cube consulting private limited,Bengaluru,5-10 Yrs,"Computer science
Bfsi
Consulting
Machine learning
Asset management
Outsourcing
Business intelligence
Data mining"
Data Scientist Delivery Lead,Scouters Pvt Ltd.,India,4-7 Yrs,"BPO
client management
algorithms
python
Prototype
SAS
Data mining
Analytics"
Senior Data Scientist,ExecBoardinAsia,Bengaluru,5-10 Yrs,"Deployment
Project planning
Monitoring"
Data Scientist,Angel Broking Limited,Mumbai,3-8 Yrs,"data science
R Programming
Machine learning
Programming
Data quality
data visualization
big data
Statistics"
Lead Data Scientist,Brillio Technologies Pvt. Ltd,Bengaluru,5-8 Yrs,"deep learning
Data analysis
SAS
Simulation
Time series analysis
Network analysis
Machine learning
Subject Matter Expert"
Associate Data Scientist,Right Step Consulting,Noida,3-6 Yrs,"E-learning
Linux
Data management
Javascript
Tools
Business intelligence
Digital marketing
Analytics"
Data Scientist,Hyrefox,Chennai,2-7 Yrs,"Script writing
spark
Analytical
SCALA
Data processing
big data
Analytics
Software services"
Data Scientists,Bloom Consulting Services,Bengaluru,2-5 Yrs,"Computer science
Risk analytics
Online marketing
Machine learning
Risk management
Operations
Financial services
SQL"
Principal Data Scientist,AXCESS CONSULTANCY SERVICES,Delhi,0-3 Yrs,"Computer science
Data analysis
Machine learning
SCALA
Apache
microsoft
Adobe
Data mining"
Data Scientist,GAUGE DATA SOLUTIONS PVT LTD,Noida,2-7 Yrs,Data Scientist
Senior Data Scientist,lgoAnalytics,Pune,3-4 Yrs,"data science
Bfsi
Senior
Machine learning
Writing
Service
Time
Statistics"
Senior Data Scientist,JoinHandsHR,Mumbai,3-8 Yrs,"Data Scientist
Data Analyst"
Data Scientist,dataspire Technologies Private Limited,Coimbatore,2-5 Yrs,"C++
Data analysis
development
Prototype
large
software
Tools
developing"
Senior Data Scientist,Intellithink,Chennai,2-5 Yrs,"data cleansing
Machine learning
Programming
Predictive modeling
big data
SQL
Python"
Data Scientist and Data Engineer,Squircle IT Consulting Services Pvt Ltd,Chennai,3-7 Yrs,"Product management
Algorithms
Prototype
Data modeling
Machine learning
Algorithm development
Grammar
Subject Matter Expert"
Data Scientist,INFINIUM SOLUTIONZ PVT LTD,Ahmedabad,3-7 Yrs,"GIS
Data analysis
RDBMS
Coding
Project management
Machine learning
Data structures
MATLAB"
Senior Data Scientist,AICHUNKS Private Limited,Chandigarh,3-8 Yrs,Machine learning
Data Scientist (Jr. Resource),Job Scan Solution,Thrissur,3-6 Yrs,"data cleansing
deep learning
Machine learning
big data
Python"
Data Scientist,ThinkBumblebee Analytics Pvt. Ltd.,Pune,3-8 Yrs,"Computer science
Operations research
SAS
Campaign management
cassandra
Machine learning
Project delivery
MATLAB"
Data Scientist / Business Analyst,Analytics Vidhya Educon Pvt. Ltd,Mumbai,10-15 Yrs,"MS SQL
Excel
data science
Financial reporting
RDBMS
Database design
Analytical
HTML"
Senior Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Bengaluru,3-8 Yrs,"Data analysis
data science
Analytical
Machine learning
HTML
Data mining
Analytics
Financial services"
Lead / principal Data Scientist,AXCESS CONSULTANCY SERVICES,Bengaluru,0-4 Yrs,"Operations research
Analytical
Machine learning
Data quality
Oracle
Data mining
Digital marketing
big data"
Data Scientist (Intern),AICHUNKS Private Limited,Chandigarh,3-8 Yrs,"Computer science
Intern
Machine learning"
Data Scientist,Fractal Analytics Ltd,Mumbai,2-5 Yrs,"Unix
Computer science
Logistic regression
Analytical
Data processing
Data structures
Data mining
Open source"
Data Scientist III,"General Mills, Inc.",Mumbai,6-11 Yrs,"Automation
Analytical
Machine learning
HTML
Data mining
Business solutions
Operations
Analytics"
opening For Data Scientist_Hyderabad,Inventech Info Solutions Pvt. Ltd.,"Chennai, Pune, Bareilly, Bengaluru, Ankleshwar, Anantapur, Bellary, Hyderabad, Angul",2-6 Yrs,"HIVE
R
Shell
Shell.
SQL
Python"
Data Scientist,BrainToSoul Consulting,Bengaluru,3-6 Yrs,"IT services
Usage
Algorithms
Support
level
Analytical
Hadoop
it"
Data Scientist Embedded Systems Innovation,CareerXperts Consulting,Bengaluru,3-7 Yrs,"Unix
Ubuntu
GIT
Analytical
Debugging
Machine learning
Programming
Product design"
Senior Data Scientist,Applied Data Finance,Chennai,3-7 Yrs,"MySQL Object Oriented program
g Python query language Python"
Senior Data Scientist,lgoAnalytics,Pune,3-4 Yrs,"data science
Bfsi
Senior
Machine learning
Writing
Service
Time
Statistics"
Data Scientist,Guavus Network Systems Pvt. Ltd.,Gurgaon,1-3 Yrs,"code
technical
testing
Hypothesis Testing
Data structures
Pattern recognition
Data mining
research"
Data Scientist,Korgen Technologies (P) Limited,Chennai,3-5 Yrs,"System architecture
Modification
advanced analytics
Data analysis
software
Data mining
SQL
analytics"
Junior Data Scientist,BangBit Technologies,Bengaluru,1-4 Yrs,"Computer science
Time management
SSRS
Machine learning
Programming
Data structures
SSIS
Troubleshooting"
Data scientist / Developer,Elton Consulting (INDIA) Private Limited,Coimbatore,3-8 Yrs,"development
sap
Architecture
Social media
Business Executive
sql
Mining
Graph"
Data Scientist Intern Rigbot,rigbot.com,Not Specified,0-1 Yrs,"Data Science
python
R
Hadeep
Machine Learning
SQL"
Data Scientists and Programmer,Zdaly,Bengaluru,2-5 Yrs,"SAN
Health insurance
tableau
Data modeling
cassandra
Script writing
big data analytics
Machine learning"
Data Scientist,Big Data BizViz (BizViz Technologies Pvt. Ltd),"Bengaluru, Hyderabad",3-8 Yrs,"ERP
Data analysis
SAS
Simulation
Analytical
Machine learning
Healthcare
Data mining"
Hiring Data Scientist - Pune,People Powered Solutions,Pune(Kalyani Nagar),3-6 Yrs,"python
data science
big data analytics
predictive modeling
Data Scientist
machine learning
business intelligence
sql"
Data Scientist,Cumulations Technologies Pvt. Ltd.,not specified,1-3 Yrs,"Tools
mobile
Statistics
SQL
Web technologies
web
R Programming
Machine learning"
Position Senior Data Scientist,Positive Integers Pvt Ltd,Chennai,3-8 Yrs,"SAS
Workflow
Mentor
Analytics
Python"
Data Scientist -Technology,India Anlage Infotech (I) Pvt. Ltd.,Bengaluru,5-10 Yrs,"algorithms
SAS
technical
software
methods
testing
Data structures
Data mining"
Position Data Scientist,Positive Integers Pvt Ltd,Chennai,0-1 Yrs,"assembly language
JavaScript
Real Time Operating Systems
.NET
HTML
Oracle
Python"
Position Data Scientist,Positive Integers Pvt Ltd,Chennai,2-5 Yrs,"assembly language
JavaScript
Real Time Operating Systems
.NET
HTML
Oracle
Python"
Data Scientist Operational Research,Delhivery,Gurgaon,1-3 Yrs,"Supply chain
Operations research
C++
Analytical
Tools
CMS
Customer service
Distribution network"
Data Scientist III,"General Mills, Inc.",Mumbai,6-11 Yrs,"Automation
Analytical
Machine learning
HTML
Data mining
Business solutions
Operations
Analytics"
Data Scientist,BrainToSoul Consulting,Bengaluru,3-6 Yrs,"IT services
Usage
Algorithms
Support
level
Analytical
Hadoop
it"
AI / ML Data Scientist - Democratize commerce through Technology,CareerXperts Consulting,Noida,2-7 Yrs,"Computer science
System architecture
C++
Image processing
Analytical
Consulting
Machine learning
Data mining"
Data Scientist,Korgen Technologies (P) Limited,Chennai,3-5 Yrs,"System architecture
Modification
advanced analytics
Data analysis
software
Data mining
SQL
analytics"
Senior Data Scientist,Nanobi Data And Analytics Pvt Ltd,Bengaluru,2-5 Yrs,Senior Data Scientist
BDB Data Scientist,BizViz Technologies Pvt. Ltd.,"Bengaluru, Hyderabad",3-8 Yrs,"algorithms
ERP
Data analysis
development
SAS
technical
software
developing"
Data scientist / Developer,Elton Consulting (INDIA) Private Limited,Coimbatore,3-8 Yrs,"development
sap
Architecture
Social media
Business Executive
sql
Mining
Graph"
DATA SCIENTIST,Tech27 Systems Ltd,Kozhikode,3-8 Yrs,"C++
SQL database
Analytical
Machine learning
Javascript
Calculus
Windows
Analytics"
Data Scientist,Zauba Technologies & Data Services Private Limited,Bengaluru,3-5 Yrs,"development
Hadoop
Tools
Data mining
Apache
Business Executive
SQL
quality"
Data Scientist,CoStrategix Technologies Pvt. Ltd.,Bengaluru,3-7 Yrs,"Statistical analysis
MySQL
Consulting
Machine learning
Hypothesis Testing
Data structures
Natural language processing
Statistics"
AI Developer/ Data Scientist,OPEXAI BUSINESS CONSULTING LLP,india,3-8 Yrs,"Unix
C++
Linux
Data modeling
Eclipse
MySQL
Data structures
Visual Studio"
Data Scientist -Technology,India Anlage Infotech (I) Pvt. Ltd.,Bengaluru,5-10 Yrs,"algorithms
SAS
technical
software
methods
testing
Data structures
Data mining"
Senior Data Scientist,tcpwave,Hyderabad,7-12 Yrs,"Computer science
Operations research
data science
Machine learning
DNS
Predictive modeling
DHCP
SQL"
Manager Data Scientist,3D-IP Semiconductors,Bengaluru,10-12 Yrs,"Computer vision
Technology management
Machine learning
Programming
Manager Technology
PHP
Management
MATLAB"
Data Scientist,AgileTech InfoSolutions,Chennai,4-9 Yrs,"Retail
C++
Analytical
Machine learning
E-commerce
Perl
Predictive modeling
Data mining"
Data Scientist,Fractal Analytics Ltd,Bengaluru,3-6 Yrs,"Linux
RF
RDBMS
Bfsi
Consulting
Data structures
Healthcare
SEM"
Data Scientist,Angel Broking Limited,Andheri,4-8 Yrs,"data science
R Programming
Machine learning
Programming
Data quality
data visualization
big data
Statistics"
Data Scientist,Seven Consultancy,"Navi Mumbai, Mumbai",3-6 Yrs,"Data analysis
Artificial Intelligence
Machine learning
Management consulting
Pattern recognition
Data mining
Forecasting
SQL"
Data Scientist,Hyrefox,Mumbai,1-3 Yrs,"Computer vision
deep learning
spark
Opencv
Machine learning
Packaging
Data structures
Statistics"
Associate Data Scientist,HR Devi and Associates,Mumbai,1-2 Yrs,"python
NLP
Pharma
Medical
Management
Safety
machine learning
big data"
Associate Data Scientist,HR Devi and Associates,Mumbai,1-2 Yrs,"Usage
SAP
Claims
SAS R
Clinical trials
Programming
Excellent Communication skill
Clinical research"
Lead Data Scientist,Snaphunt,Bengaluru,8-13 Yrs,"Data Science
Pyspark
R
Artificial Intelligence
Time Series
Data Mining
Machine Learning
Deep Learning"
Machine Learning Engineer/data Scientist,AUTODESK INDIA PRIVATE LIMITED,Bengaluru,5-10 Yrs,"kubernetes
scala
anomaly detection
docker
salesforce
deep learning
tensorflow
jupyter"
Data Scientist,Innominds Software Pvt Ltd,Hyderabad,4-8 Yrs,"algorithms
python
Artificial Intelligence
Information retrieval
Pattern recognition
Mining
Digital media
deep learning"
IQM - Data Scientist,IQM Corporation,"Ahmedabad, ahmedabad",8-10 Yrs,"analytical
Data processing
Business Executive
Computer science
Algorithms
Coding
Machine learning
design"
Senior Data Scientist,Nanobi Data And Analytics Pvt Ltd,Bengaluru,7-9 Yrs,"SAS
data science
Consulting
Presales
Stores
SPSS
big data
Business Executive"
Senior Data Scientist,Karvy Analytics,Hyderabad,5-10 Yrs,"rest
development
code
Image processing
big data analytics
level
testing
System design"
Senior Data Scientist,STATXO,"Bengaluru, Gurgaon",4-6 Yrs,"Analytical skills
advanced analytics
Chemical
Industrial products
Manager Technology
Market research
MS Office
Word VBA"
Senior Data Scientist / Algorithms Specialist,AmyLogic,Bengaluru,4-5 Yrs,"technical
software
MPP
tools
sql
analytics
web
MySQL"
Data Scientist,Profisor Services Pvt. Ltd.,Gurgaon,8-13 Yrs,"Algorithms
Bfsi
Analytical
Consulting
Machine learning
Agile
Tools
Healthcare"
Lead Data Scientist and Cognitive Software Engineer,Gladwin Analytics,"Bengaluru, Hyderabad",5-10 Yrs,"Computer science
C++
Prototype
Linux
MySQL
Machine learning
Oracle
Analytics"
Data Scientist,SPICE HR,Indore,5-10 Yrs,"vocal instruction
State Machine
chat process
lead voice scientist
live chat
lead data scientist
voice scientist
vocal chat"
Data Scientist,Novitas Infotech,Bengaluru,5-10 Yrs,"Data Science
R
Presto
Hadoop
Customer Analytics
Data Mining
Tableau
Night Shift"
Principal Data Scientist,"Continues Intelligence Lab Pvt.Ltd,",Bengaluru,10-15 Yrs,"algorithms
test
sas
frameworks
level
prototyping
CouchDB
PostgreSQL"
Senior Data Scientist,Turings (formerly Tuple),"Delhi NCR, Bengaluru",6-11 Yrs,"deep learning
algorithms
python
tensorflow
Multithreading
data science
Scalability
pytorch"
Data Scientist (lead),Inceptial Infrastructure & Technology LLP,Kolkata,8-9 Yrs,"deep learning
kubernetes
nlp
Docker
data scientist
Lead Data Scientist"
Senior Data Scientist,ExecBoardinAsia,Bengaluru,5-10 Yrs,"Deployment
Project planning
Monitoring"
Lead Data Scientist,Positive Integers Pvt Ltd,Chennai,5-10 Yrs,"rest
algorithms
python
SAS
Mentor
Lead Coach
Management
Analytics"
"Senior Data Scientist in Manhattan Associates (r&d), Bengaluru",UNICON HR SOFTECH PVT LTD,Bengaluru,6-11 Yrs,"python
senior data scientist
data mining
Machine Learning
sr. data scientist"
Data Scientist,GlobalHunt India Private Limited,Hyderabad,12-15 Yrs,"NLP
SAS
Machine learning
Python"
Senior Data Scientist,Nanobi Data And Analytics Pvt Ltd,Bengaluru,7-9 Yrs,"SAS
data science
Consulting
Presales
model development
SPSS
big data
Business Executive"
Senior Data Scientist,Harpreet Kaur Bhatti,Germany,5-10 Yrs,"Java
Python
SQL
Data Science
Amazon Redshift
Java Architecture
Javascript
Spark"
DATA SCIENTIST (Analytics Technology),Melstar Information Technologies Ltd,"Bengaluru, Gurgaon",7-12 Yrs,"C++
SAS
technical
it
Data mining
Analytics
SQL
Computer science"
Senior Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Bengaluru,4-5 Yrs,"data science
Machine learning
Deployment
Author
HTML
Data mining
Analytics
Android"
Data Scientist,Sahasya Global Solutions,Hyderabad,12-17 Yrs,"IT services
development
c
technical
level
System programming
it
Analytics"
Data Scientist,The Data Team,"Chennai, Bengaluru",10-15 Yrs,"data science
Linux
RDBMS
MySQL
Javascript
Oracle
Business intelligence
SQL"
Lead Data Scientist,QubeRoot Analytics,Bengaluru,5-8 Yrs,"algorithms
Data analysis
Bfsi
testing
developing
Data mining
tools
SQL"
Sr Data Scientist,Walmart Labs,Bengaluru,5-9 Yrs,"NoSQL
Web analytics
cassandra
Analytical
Machine learning
SEO
Data mining
Forecasting"
